city,total_orders,total_revenue,average_order_value
East Samanthahaven,1,430.3,430.3
Fergusonshire,1,165.84,165.84
South Davidmouth,4,1046.24,261.56
Lake Ellenbury,1,193.08,193.08
Port Aaronberg,3,740.38,246.793333333333
South Jose,4,703.53,175.8825
Catherineshire,4,1140.44,285.11
New Tinamouth,1,423.46,423.46
Port Rachael,2,463.06,231.53
East Felicia,3,859.38,286.46
Porterside,1,38.02,38.02
Port Bethfurt,1,155.41,155.41
Beanbury,1,50.53,50.53
Port Pamelaborough,2,527.62,263.81
North Angelaside,2,422.12,211.06
South Robertshire,1,428.39,428.39
Laurenmouth,6,1593.01,265.501666666667
Mackenzieland,1,457.25,457.25
Smithhaven,12,2778.3,231.525
Lake Sue,2,720.96,360.48
West Kellystad,2,671.27,335.635
New Sherryport,1,148.04,148.04
New Timothy,8,1610.21,201.27625
South Mikemouth,1,74.19,74.19
Butlershire,3,686.56,228.853333333333
Davisburgh,12,2816.7,234.725
Martinezport,4,806.15,201.5375
Frankland,2,577.7,288.85
Davenportstad,2,621.07,310.535
Lake Danielburgh,1,262.5,262.5
Jamesburgh,14,4313.49,308.106428571429
Joelshire,2,871.63,435.815
Romanhaven,1,73.99,73.99
Port Codyland,2,401.92,200.96
Kaylaside,3,679.12,226.373333333333
North Richardport,2,321.98,160.99
Ianview,3,1048.43,349.476666666667
Christinafurt,6,1342.49,223.748333333333
Wilsonshire,5,1217.91,243.582
Sparksborough,1,395.75,395.75
Hollowaybury,1,68.14,68.14
Port Valerie,5,1276.37,255.274
Lake Jenniferfort,4,1257.13,314.2825
Destinyshire,1,131.6,131.6
Clayborough,2,513.53,256.765
Wallton,1,67.3,67.3
South Susan,7,1910.1,272.871428571429
Fordhaven,2,502.16,251.08
Carolineview,1,165.77,165.77
Justinland,5,476.46,95.292
Phillipsland,3,863.31,287.77
North Robinmouth,1,50.71,50.71
Port Kevinborough,1,333.72,333.72
Olsonshire,1,174.9,174.9
Port Sharimouth,1,254.26,254.26
Lake Katieside,1,277.84,277.84
Lake Jorge,1,490.3,490.3
Rhodesstad,3,643.41,214.47
Nashview,1,17.26,17.26
Port Markfurt,1,494.65,494.65
Johnsfort,1,495.47,495.47
New Brianville,2,50.71,25.355
West Elizabethville,2,511.1,255.55
West Elijah,3,889.77,296.59
North Robertmouth,1,352.6,352.6
West Stacychester,1,137.35,137.35
North Benjaminfurt,3,600.58,200.193333333333
Cookport,3,507.22,169.073333333333
Lake Austinland,1,313.46,313.46
Rubioshire,1,349.98,349.98
South Brittany,2,781.46,390.73
South Donnaport,1,191.31,191.31
North Alexafurt,1,168.87,168.87
Duncanville,1,338.17,338.17
Lake Peterville,1,12.78,12.78
Danielberg,6,1642.01,273.668333333333
Lake Ariana,1,250.39,250.39
Port Georgeville,1,319.03,319.03
South Beverly,1,445.78,445.78
Mclaughlinview,2,525.51,262.755
Simsside,1,270.73,270.73
Lake Heidifurt,1,319.91,319.91
North Charlesbury,1,115.67,115.67
Deborahland,2,792.95,396.475
North Amandahaven,1,260.72,260.72
Chambersport,1,484.32,484.32
West Curtisville,1,445.87,445.87
Armstrongville,1,72.05,72.05
West Yvonneshire,1,233.5,233.5
Mullenmouth,1,276.61,276.61
Kristinville,1,350.68,350.68
New Joshuaberg,1,354.15,354.15
Stoneburgh,1,47.64,47.64
Garciaberg,6,1820.91,303.485
Lake Katelyn,2,252.06,126.03
Claytonchester,1,261.65,261.65
Moorestad,3,495.79,165.263333333333
West Ashleyfort,1,112.84,112.84
Adamston,3,614.63,204.876666666667
Pooleville,1,197.31,197.31
East Oliviaview,1,151.43,151.43
Hollowayhaven,1,13.46,13.46
North Monicachester,1,424.88,424.88
Abigailberg,1,175.47,175.47
Romanburgh,1,269.29,269.29
Lopezfurt,4,1064.58,266.145
Barbaraview,1,218.56,218.56
Reynoldschester,3,704.02,234.673333333333
Hallview,2,570.22,285.11
South Johnnyhaven,1,157.57,157.57
New Alyssachester,2,627.95,313.975
Lake Xavierborough,1,37.21,37.21
South Jessicaborough,1,232.44,232.44
North Lindaland,1,20.69,20.69
East Emilyville,2,519.6,259.8
Carsonfort,1,359.55,359.55
West Dianeland,1,369.7,369.7
Macdonaldland,1,181.34,181.34
Toniview,2,312.54,156.27
Lake Lanceborough,1,53.78,53.78
Miguelstad,1,309.44,309.44
Bethanyton,1,468.94,468.94
Marcusville,2,498.17,249.085
New Gina,2,606.52,303.26
New Rhondaland,1,157.01,157.01
North Omarshire,1,429.75,429.75
Port Grace,1,26.63,26.63
South Brettport,1,324.94,324.94
Lindaview,1,397.15,397.15
Lake Amandaview,1,123.18,123.18
West Francis,1,465.45,465.45
West Phillip,3,754.4,251.466666666667
Lake Mike,1,157.92,157.92
South Danielstad,1,137.33,137.33
Moranchester,1,349.57,349.57
Marioland,1,429.48,429.48
Morgantown,2,743.72,371.86
Arellanoburgh,1,58.81,58.81
Lake Kellyberg,1,22.89,22.89
North Jeffside,1,111.6,111.6
Alexaland,1,211.88,211.88
Lake Marcport,1,294.8,294.8
East Robinfort,1,490.62,490.62
North Tonichester,1,491.59,491.59
East Annchester,1,488.46,488.46
Arthurmouth,2,372.76,186.38
Parrishtown,1,373.69,373.69
South Mirandaton,1,216.21,216.21
North Brandonport,1,443.81,443.81
East Brookeborough,1,32.68,32.68
Port Catherine,2,731.54,365.77
South Hunterland,1,202.92,202.92
Batesfurt,1,445.44,445.44
Matthewside,15,3681.88,245.458666666667
West Beverly,1,452.12,452.12
Jenniferborough,13,3518.53,270.656153846154
Lake Jeff,1,228.73,228.73
West Alejandro,1,152.59,152.59
Kennedytown,2,129.24,64.62
Angelicamouth,1,66.02,66.02
Karenburgh,3,765.9,255.3
Chadstad,1,307.5,307.5
Ericamouth,3,543.11,181.036666666667
Andrewland,5,1739.27,347.854
East Jeffreyhaven,2,434.02,217.01
Patricialand,1,148.99,148.99
Fisherland,2,363.15,181.575
West Sarah,23,5735.04,249.349565217391
East Darlenebury,1,189.07,189.07
West Devinland,1,205.99,205.99
Figueroaburgh,1,247.61,247.61
Lauraview,3,803.63,267.876666666667
Laurachester,4,1095.42,273.855
Farrellland,1,476.16,476.16
West Brookemouth,1,51.05,51.05
Reillyfort,1,90.55,90.55
Port Ryanfort,1,352.61,352.61
Gutierrezville,4,1032.31,258.0775
Lake Jasminehaven,2,559.91,279.955
East Amber,4,926.49,231.6225
South Kerry,2,536.36,268.18
West Chris,1,251.37,251.37
West Jonathonland,1,383.33,383.33
Alejandroland,1,84.54,84.54
Deannachester,4,590.52,147.63
Walkerville,1,406.22,406.22
West Jeremymouth,2,374.12,187.06
Lopezbury,4,1622.45,405.6125
Douglasborough,2,464.43,232.215
North Chadmouth,2,655.42,327.71
Miguelview,1,42.0,42.0
Reyesfurt,2,556.59,278.295
Lake Dannymouth,1,59.92,59.92
Billymouth,3,595.46,198.486666666667
Gabrielside,1,315.78,315.78
Lake Tammyshire,1,165.78,165.78
West Sandramouth,3,814.81,271.603333333333
Cochranshire,1,11.68,11.68
Jillview,2,683.4,341.7
East Mikaylaburgh,1,210.1,210.1
West Kristinaville,1,126.67,126.67
West Lauraville,1,185.69,185.69
West Carrie,2,508.46,254.23
Port Charlesmouth,2,426.82,213.41
Crystalshire,2,618.86,309.43
Audreyshire,1,271.36,271.36
Port Madison,3,1105.66,368.553333333333
South Wandabury,1,143.31,143.31
New Lisaland,1,388.26,388.26
Chelseyland,1,273.74,273.74
Barbarafurt,2,323.76,161.88
Barrychester,1,259.14,259.14
North Benjaminstad,1,176.76,176.76
South Gabrielleville,1,69.22,69.22
North Bethfurt,1,83.05,83.05
Tranton,2,597.28,298.64
East Gabriel,1,310.18,310.18
Lake Amychester,1,364.89,364.89
South Lindsaystad,1,71.87,71.87
Amberstad,1,19.92,19.92
Lake Juan,3,628.38,209.46
Sandersland,4,995.0,248.75
Kennedystad,2,256.46,128.23
Mitchellhaven,5,1727.52,345.504
Butlerville,2,390.89,195.445
Josephmouth,8,1480.45,185.05625
Santanaburgh,1,161.94,161.94
East Karen,6,1247.42,207.903333333333
East Samanthachester,1,454.6,454.6
Myersville,3,834.84,278.28
West Kellychester,1,225.94,225.94
Santosborough,2,479.5,239.75
Pottsmouth,1,163.27,163.27
Smallview,1,242.77,242.77
Turnerburgh,4,789.13,197.2825
Millerport,7,1371.9,195.985714285714
Reedstad,1,326.87,326.87
Lake Peggyborough,1,165.4,165.4
Sallyshire,1,362.86,362.86
Lake Jenniferside,3,400.6,133.533333333333
Lake Steveville,1,103.18,103.18
Ginashire,1,364.38,364.38
Brittanychester,6,1469.28,244.88
Gatesbury,1,393.77,393.77
Gallagherfurt,1,204.93,204.93
Susanfort,3,889.8,296.6
New Christophershire,1,446.74,446.74
Noahland,1,376.7,376.7
Kramerchester,1,85.9,85.9
Marthaview,1,73.1,73.1
South Melinda,2,520.9,260.45
West Rodneyfort,1,157.37,157.37
Levychester,1,404.09,404.09
Juanfurt,2,710.62,355.31
North Lonniemouth,1,468.6,468.6
Port Erinchester,1,255.4,255.4
West Carlaside,1,440.44,440.44
New Staceyborough,1,141.34,141.34
Carlsonport,2,353.58,176.79
Hesstown,1,335.75,335.75
Fisherfurt,2,557.63,278.815
West Victoriafort,1,34.65,34.65
Lake Darius,1,116.56,116.56
Port Morgan,1,61.23,61.23
South Selena,1,347.11,347.11
South Belindashire,1,205.48,205.48
Martinside,2,134.43,67.215
New Paul,7,1875.3,267.9
Wesleyfort,2,418.0,209.0
Port Thomasside,1,51.28,51.28
Gordonchester,1,95.65,95.65
New Brandonville,1,21.59,21.59
East Roberttown,1,71.48,71.48
South Ernestbury,1,163.13,163.13
Port Michaelborough,3,1089.14,363.046666666667
Port Madelinetown,1,285.5,285.5
Richardsfort,1,173.45,173.45
South Nicolechester,1,367.25,367.25
West Madeline,1,31.56,31.56
Diazshire,3,726.14,242.046666666667
Lake Brent,1,487.02,487.02
Woodsstad,1,185.39,185.39
Brianabury,1,164.52,164.52
East Brandonfort,1,191.53,191.53
Changtown,1,362.9,362.9
Jacksonborough,1,458.59,458.59
Port Brandonmouth,1,489.57,489.57
Stanleytown,2,421.23,210.615
Port Jeffreyport,1,365.59,365.59
Johnnyfurt,1,402.6,402.6
Lake Ericfurt,1,256.83,256.83
Snowfurt,1,41.08,41.08
Blairland,1,183.04,183.04
North Heatherhaven,1,31.86,31.86
West Kevinton,1,362.0,362.0
Lovefort,1,170.21,170.21
Karenland,2,357.25,178.625
New Sheila,3,292.83,97.61
Dukeshire,1,464.39,464.39
South Stevenburgh,1,359.95,359.95
Harrisonville,1,224.14,224.14
Simpsonport,2,359.38,179.69
Zimmermanton,1,171.22,171.22
West Kristinborough,1,125.24,125.24
Ianport,1,385.18,385.18
South Cindy,1,221.09,221.09
East Christinabury,1,424.19,424.19
Henryfort,1,362.29,362.29
Reyeschester,1,125.11,125.11
Molinamouth,1,435.96,435.96
Port Connor,2,583.6,291.8
Alvaradoberg,1,243.79,243.79
Petersenfort,1,221.96,221.96
Crawfordhaven,1,488.36,488.36
Rollinsbury,1,492.65,492.65
Carterfurt,1,205.89,205.89
Lake Robinfurt,1,405.66,405.66
Port Amystad,1,79.43,79.43
Underwoodshire,1,179.0,179.0
Port Aaronview,1,135.54,135.54
Andreaton,2,567.94,283.97
Andersenland,1,499.93,499.93
Whitakerland,1,234.2,234.2
Port Lisaton,1,422.53,422.53
Wadetown,1,190.75,190.75
Huffside,1,109.25,109.25
West Oliviashire,1,204.67,204.67
East Jasontown,1,147.14,147.14
Perkinsfort,2,672.94,336.47
Terrelltown,1,436.6,436.6
Port Dustinfurt,1,215.08,215.08
Alvaradoborough,1,381.51,381.51
New Rachelchester,1,281.53,281.53
New Lucas,1,64.22,64.22
East Jonathanfort,1,232.48,232.48
New Lindaview,1,457.13,457.13
New Seanland,1,315.98,315.98
Tammystad,1,492.44,492.44
Reedchester,1,424.94,424.94
Phillipfort,1,478.6,478.6
New Joshuafort,1,52.57,52.57
North Mckenzieview,1,456.78,456.78
Lake Beckyberg,1,453.42,453.42
North Stephaniehaven,1,187.03,187.03
New Katiemouth,1,148.87,148.87
Kaitlinstad,1,159.72,159.72
Beckerfort,1,248.39,248.39
Franceshaven,1,219.07,219.07
Lauraberg,2,272.37,136.185
East Andrew,9,1844.77,204.974444444444
Alvinchester,1,398.98,398.98
Andersonburgh,4,901.7,225.425
Rhondamouth,3,1017.3,339.1
South Michael,34,8472.4,249.188235294118
Alexandershire,5,917.53,183.506
South Tara,2,277.96,138.98
Ramirezview,5,960.45,192.09
South Garrettside,1,326.94,326.94
West Yvonnehaven,1,331.11,331.11
Port Christopherburgh,2,481.84,240.92
West Kelsey,4,1329.47,332.3675
New Lauren,5,1409.28,281.856
Jessicamouth,12,3313.45,276.120833333333
West Katherinefort,2,753.65,376.825
Christineburgh,3,574.55,191.516666666667
Emilychester,4,1657.8,414.45
Lake Katrinastad,1,493.54,493.54
New Jeremy,11,3289.28,299.025454545455
West Felicia,1,465.03,465.03
Lake Melissashire,3,190.81,63.6033333333333
Jacksonhaven,3,352.75,117.583333333333
North Justinchester,1,98.22,98.22
Ewingburgh,2,455.81,227.905
Traceyfort,2,553.02,276.51
Port Jillianfurt,1,280.66,280.66
West Robertmouth,3,929.22,309.74
East Christinaberg,1,108.05,108.05
West Julie,9,1595.94,177.326666666667
North Jacob,7,1879.74,268.534285714286
Lake Kathyside,1,225.92,225.92
Hernandezport,11,2756.57,250.597272727273
Hernandezburgh,1,211.23,211.23
Carolfort,1,26.83,26.83
Goldenfurt,1,348.77,348.77
South Justin,11,3135.02,285.001818181818
Kathyfurt,5,1744.42,348.884
Angelaview,3,409.14,136.38
Davisberg,5,1031.75,206.35
Lauraborough,3,893.39,297.796666666667
Chelseamouth,2,289.56,144.78
South Hannahchester,1,346.46,346.46
Lake Karen,8,2211.49,276.43625
Chadmouth,2,341.11,170.555
Elijahstad,1,304.36,304.36
Jeffreybury,2,34.51,17.255
Boyleshire,1,226.28,226.28
Tonibury,1,277.06,277.06
Wendyside,3,964.78,321.593333333333
Johnport,7,1339.3,191.328571428571
Port Kevinberg,1,144.66,144.66
North Barbarashire,1,108.1,108.1
North Kristinport,1,463.3,463.3
Davenportberg,1,491.67,491.67
East Jacob,10,2464.52,246.452
Spencerborough,3,810.55,270.183333333333
Larsonchester,2,494.47,247.235
Escobarfurt,1,144.47,144.47
Jensenbury,2,723.02,361.51
Lake Teresaville,1,141.45,141.45
East Anne,2,487.91,243.955
Nicolebury,4,843.07,210.7675
North Patricia,3,925.69,308.563333333333
Garrisonburgh,1,268.44,268.44
Lake Anthonyhaven,1,487.89,487.89
Paulfurt,4,1403.84,350.96
North Heatherburgh,1,362.78,362.78
Lake Natalieton,1,90.69,90.69
Alvarezchester,1,82.2,82.2
North Henry,3,854.01,284.67
New Deborahfurt,1,464.32,464.32
South Jessicatown,1,399.45,399.45
North Jonathonhaven,1,399.41,399.41
South Tammyfort,2,413.7,206.85
Leeport,6,1348.69,224.781666666667
New Luiston,1,136.57,136.57
East Crystalshire,1,277.89,277.89
Parkerborough,3,991.31,330.436666666667
East Alex,1,136.75,136.75
New Scottfort,2,767.65,383.825
New Garymouth,1,396.84,396.84
New Thomaston,2,671.24,335.62
Marilynmouth,1,258.86,258.86
South Ashleystad,2,341.51,170.755
East Nicholasville,1,338.12,338.12
Lake Timberg,1,238.39,238.39
West Omar,2,440.41,220.205
Reevesland,1,407.91,407.91
Leonardshire,1,162.49,162.49
Laneborough,1,471.02,471.02
Franciscobury,2,273.82,136.91
Lake Michaelbury,2,705.22,352.61
New Mitchell,2,425.62,212.81
Port Rubenfort,1,151.36,151.36
Mooreberg,5,1707.76,341.552
West Sydneyville,1,91.28,91.28
North Larryshire,1,486.15,486.15
Port Shawn,2,693.28,346.64
West Jaystad,1,138.99,138.99
South Debraberg,1,398.89,398.89
Shepherdbury,1,306.4,306.4
East Alisonton,1,207.79,207.79
East Juliehaven,1,98.81,98.81
Jerryton,1,165.92,165.92
East Annview,1,249.74,249.74
Colinfort,1,225.27,225.27
Coreyberg,1,70.91,70.91
Port Tylerfort,1,151.15,151.15
New Cliffordton,1,67.1,67.1
Hinesview,1,40.54,40.54
North Michelleview,1,119.9,119.9
East Michelleland,1,217.04,217.04
East Stevenborough,1,197.66,197.66
Mannmouth,1,408.19,408.19
Woodsmouth,1,23.52,23.52
East Wendyton,1,496.38,496.38
Parksbury,2,403.34,201.67
North Lindamouth,2,546.02,273.01
New Melvinview,1,391.49,391.49
South Sonyafort,1,185.75,185.75
Cortezfurt,1,124.66,124.66
North Dwayneburgh,1,41.74,41.74
East Ashleymouth,1,485.05,485.05
West Josephtown,1,271.86,271.86
Vargasshire,1,399.71,399.71
West Karenhaven,1,205.16,205.16
Barrborough,2,302.14,151.07
Patelmouth,2,823.1,411.55
Clayfurt,1,319.05,319.05
Lake Rebeccabury,1,72.99,72.99
Lake Ryanport,1,151.36,151.36
Port Richardbury,1,111.27,111.27
Bryanland,1,439.01,439.01
Lake Shanestad,1,82.08,82.08
Davenportport,1,33.79,33.79
New Kristinshire,1,471.19,471.19
North Robertoport,1,224.86,224.86
New Ruthton,1,422.31,422.31
Weaverbury,1,339.84,339.84
Louismouth,1,81.55,81.55
Howeland,1,488.14,488.14
Port Manuelberg,1,358.31,358.31
Danielsstad,1,119.74,119.74
Richardsberg,2,493.16,246.58
East Jasonside,1,61.67,61.67
West Michelleberg,1,266.97,266.97
Vasquezstad,2,865.34,432.67
West Timothyview,1,488.93,488.93
South Hannahland,1,440.36,440.36
South Andrewshire,2,561.1,280.55
Drewmouth,1,367.29,367.29
North Christopherbury,1,280.52,280.52
South Patriciamouth,1,209.54,209.54
Gutierrezton,1,43.12,43.12
Nguyentown,1,28.55,28.55
Clarketown,1,249.66,249.66
Lake Joshuaside,1,155.12,155.12
Potterhaven,1,355.94,355.94
Fraziershire,1,179.25,179.25
Goodport,1,164.29,164.29
North Kimberlyport,1,423.91,423.91
North Mariahhaven,1,269.58,269.58
New Toddtown,1,120.76,120.76
West Pattystad,1,275.96,275.96
Parsonsshire,1,467.25,467.25
West Peterland,1,432.98,432.98
Juarezton,1,363.27,363.27
Claytonburgh,1,364.18,364.18
Harperland,1,218.8,218.8
Elizabethberg,1,143.68,143.68
East Brandiberg,1,265.39,265.39
Port Charlesfurt,1,185.52,185.52
Davidhaven,12,2365.95,197.1625
South Richardmouth,1,391.15,391.15
Amberfort,1,280.33,280.33
Herreratown,4,869.22,217.305
Johnsonshire,12,2629.24,219.103333333333
Lake Paulberg,3,1019.94,339.98
East Gina,3,843.2,281.066666666667
Gilmorechester,1,207.01,207.01
Mccormickmouth,2,715.49,357.745
Port Jacquelineland,1,211.39,211.39
Lake Codychester,1,211.17,211.17
Sarahport,3,559.27,186.423333333333
Garrisontown,1,477.99,477.99
Robertsland,1,323.3,323.3
Port Erin,5,1602.91,320.582
East Natalieland,1,90.31,90.31
Bobbyburgh,1,256.8,256.8
Port Michaelview,4,1157.33,289.3325
East Laura,11,3193.43,290.311818181818
East Glenn,2,423.29,211.645
Lake Jodyview,1,457.95,457.95
New Noah,2,508.02,254.01
Alvarezbury,2,836.31,418.155
Delgadotown,1,291.69,291.69
Jonathanside,1,163.68,163.68
Lake Melissa,10,3077.22,307.722
North Destiny,1,264.23,264.23
Howardshire,2,673.49,336.745
East Jessicahaven,2,446.38,223.19
Susanmouth,6,1332.07,222.011666666667
Mcdowellberg,1,347.75,347.75
West Dawn,5,1225.73,245.146
Lake Marcia,1,296.95,296.95
Port Kimberlyfort,3,865.59,288.53
Allisonville,2,62.38,31.19
Ryanton,5,1885.73,377.146
New Zachary,5,1360.05,272.01
Port Ricardo,2,175.78,87.89
Hartport,1,345.44,345.44
Sabrinaport,1,319.68,319.68
Lutzview,1,489.94,489.94
Adrianburgh,1,306.53,306.53
Lake Vicki,1,459.14,459.14
Payneport,2,311.97,155.985
Jenningsstad,3,956.5,318.833333333333
Hamptonchester,1,180.16,180.16
Lake Brooke,4,930.12,232.53
Amyfort,7,2429.0,347.0
Kathleenborough,4,1011.81,252.9525
Port Thomasstad,1,490.11,490.11
Weissshire,1,180.33,180.33
Lake Richardville,1,26.06,26.06
Fernandezbury,1,162.24,162.24
East Juliaside,1,207.64,207.64
Lake Dianaburgh,1,327.21,327.21
Harmonfort,2,436.2,218.1
Alexanderside,4,884.5,221.125
West Erik,4,1186.4,296.6
Mannhaven,1,173.02,173.02
South Derrick,2,619.32,309.66
South Jessechester,1,250.13,250.13
Kathrynton,3,1229.48,409.826666666667
Dianeview,1,37.98,37.98
Tonyberg,1,165.27,165.27
Roblesstad,1,420.6,420.6
Beasleyfurt,1,196.64,196.64
West Emilymouth,2,816.3,408.15
Pattonbury,2,813.67,406.835
Gibbsview,1,347.57,347.57
Mccannside,2,697.59,348.795
Gardnerview,2,522.08,261.04
Lake Brettberg,1,154.58,154.58
Greenborough,3,797.43,265.81
Elliottmouth,2,757.86,378.93
Hernandezfort,2,648.31,324.155
Rangelburgh,3,479.15,159.716666666667
New Alanstad,1,250.83,250.83
West Ericside,1,25.13,25.13
Vaughnport,1,308.46,308.46
Caitlynbury,1,220.53,220.53
Wallerland,1,274.33,274.33
South Colleenburgh,1,63.42,63.42
Toddmouth,3,1020.79,340.263333333333
New Thomasborough,2,83.32,41.66
Medinaport,1,67.17,67.17
East Anthonyfurt,1,459.68,459.68
Rachelbury,1,115.23,115.23
Wallsshire,2,560.1,280.05
Haleborough,2,646.47,323.235
New Shelbymouth,1,403.07,403.07
Lake Traceyfurt,1,148.72,148.72
East Monica,3,257.52,85.84
North Richardborough,1,422.15,422.15
Wardfurt,1,234.8,234.8
North Grantport,1,443.07,443.07
Lake Robertchester,1,431.87,431.87
Laneport,3,911.54,303.846666666667
Lake Jenniferland,1,181.22,181.22
Loweburgh,1,311.6,311.6
South Margaretmouth,2,110.18,55.09
Marioshire,1,487.26,487.26
Boydview,1,165.73,165.73
Dawnberg,2,455.27,227.635
Wendyview,1,386.91,386.91
Cervantesmouth,1,38.33,38.33
Tylerville,2,463.59,231.795
Alvarezville,1,43.96,43.96
Roychester,1,36.52,36.52
Marquezfurt,1,150.18,150.18
Port Jessicafort,3,227.85,75.95
New Alyssaville,2,533.74,266.87
New Oscar,1,37.07,37.07
Andreashire,3,762.9,254.3
Zacharyborough,1,271.77,271.77
South Francisco,1,139.3,139.3
Marioside,1,495.03,495.03
East Lindsaybury,1,477.51,477.51
Jesusfurt,1,267.65,267.65
Port Brendatown,1,146.38,146.38
South Samanthaburgh,1,264.59,264.59
Port Jared,1,152.63,152.63
Lake Charlesmouth,2,320.49,160.245
Marcusview,2,757.28,378.64
Port Amandaport,1,168.95,168.95
South Kristenchester,1,477.3,477.3
Ericksonhaven,1,246.45,246.45
Port Shawnfurt,1,154.19,154.19
Nolanstad,1,365.62,365.62
Lake Katieview,1,465.25,465.25
Roystad,2,435.17,217.585
East Seanhaven,1,267.17,267.17
Blakeshire,1,384.24,384.24
Mcfarlandborough,1,328.94,328.94
North Evelyn,2,306.95,153.475
Lake Aliciastad,1,430.88,430.88
East Matthewport,1,258.99,258.99
New Ashleeport,1,92.56,92.56
Rachelport,2,263.8,131.9
Victorfort,1,103.9,103.9
Tinachester,2,394.83,197.415
East Alyssabury,1,25.63,25.63
North Stephenfort,1,329.48,329.48
South Scotthaven,1,162.88,162.88
South Cheyenne,1,99.8,99.8
Lake Garyburgh,1,452.49,452.49
Nelsonberg,1,84.4,84.4
Lake Destiny,1,450.17,450.17
Lake Jim,1,314.81,314.81
Boydborough,1,306.83,306.83
Robbinsside,1,380.34,380.34
South Nicoleshire,1,294.21,294.21
East Spencertown,1,273.68,273.68
Esparzaborough,1,58.28,58.28
North Seanbury,1,257.32,257.32
Port Donaldshire,1,486.22,486.22
South Michaelstad,2,857.31,428.655
East Brittney,2,244.84,122.42
North Codymouth,1,459.58,459.58
Franciscoville,1,11.1,11.1
New Heatherburgh,2,457.79,228.895
West Brandonberg,1,87.38,87.38
Port Iantown,1,446.45,446.45
Lewiston,2,957.73,478.865
East Natalieside,1,321.85,321.85
Bartonport,1,342.76,342.76
Jorgetown,1,265.37,265.37
North Lukefort,1,305.96,305.96
Mcdonaldfort,1,22.8,22.8
Trevinohaven,1,485.34,485.34
Ramosland,2,424.96,212.48
Andrewmouth,10,2720.76,272.076
New Patrickport,2,329.08,164.54
North Sandrafort,1,159.75,159.75
East Charles,12,2769.4,230.783333333333
Port Amandaside,2,666.91,333.455
Petermouth,5,1054.1,210.82
Amystad,4,562.03,140.5075
Cooperside,3,1170.42,390.14
Johnsonstad,9,2507.75,278.638888888889
South Cynthia,4,776.17,194.0425
North Ernestfurt,1,238.03,238.03
Stephenschester,3,592.84,197.613333333333
North Beckychester,1,96.5,96.5
New Bryan,5,1376.44,275.288
Lake Jasonside,1,230.44,230.44
Port Kevin,11,2592.76,235.705454545455
Johnbury,11,2063.56,187.596363636364
East Emilystad,1,173.37,173.37
East Karenview,1,237.16,237.16
Clarkhaven,3,988.04,329.346666666667
Hollowayborough,1,260.0,260.0
Stewartmouth,4,1133.87,283.4675
Seanstad,6,2434.82,405.803333333333
Carneyburgh,1,103.46,103.46
Alvaradomouth,3,799.53,266.51
Burnettshire,1,453.68,453.68
Port Cristinafort,2,513.75,256.875
Port Adamburgh,3,575.99,191.996666666667
Leeville,5,1477.18,295.436
Coreyhaven,1,433.55,433.55
North Lisabury,2,321.94,160.97
Lake Jameston,3,804.69,268.23
North Jamiebury,1,60.02,60.02
Andersonmouth,14,3675.86,262.561428571429
Lake Nicholaston,1,67.2,67.2
Heiditon,2,471.81,235.905
North Ianstad,1,218.68,218.68
Duranshire,1,385.55,385.55
West Douglas,3,716.97,238.99
West Robin,3,411.31,137.103333333333
Holdenchester,1,46.25,46.25
Tuckertown,2,773.34,386.67
Fischermouth,2,373.92,186.96
Macdonaldside,1,258.25,258.25
New Josephmouth,1,174.95,174.95
Ariasberg,1,228.09,228.09
Sarahbury,3,1189.65,396.55
South Rickyborough,2,258.58,129.29
Amandafort,4,1294.28,323.57
North Austin,5,1348.47,269.694
West Crystalstad,1,246.83,246.83
Millerton,6,1442.51,240.418333333333
Richardsonbury,2,303.61,151.805
Bennettfurt,1,344.86,344.86
Port Danielfort,1,470.67,470.67
Mckenzieton,1,441.03,441.03
Kaufmanmouth,1,209.06,209.06
East Stevenberg,2,755.93,377.965
Port Davidview,4,1180.54,295.135
Nicolechester,4,1602.49,400.6225
South Henry,3,1072.21,357.403333333333
North Arthurfurt,1,269.68,269.68
Kellyton,6,1506.08,251.013333333333
South Billyshire,2,357.05,178.525
Lake Michealfort,1,154.91,154.91
Lake Scottborough,1,16.16,16.16
Charlesville,6,1001.45,166.908333333333
New Pamelastad,1,271.96,271.96
Brownberg,6,1640.72,273.453333333333
Petershire,1,489.62,489.62
South Christinefort,1,189.11,189.11
Carpentermouth,2,475.62,237.81
East Gregory,7,2018.74,288.391428571429
North Parker,1,21.26,21.26
North Calebton,1,112.15,112.15
Velezshire,1,238.89,238.89
South Christian,3,984.57,328.19
Micheleberg,3,575.66,191.886666666667
Port Austinside,1,334.14,334.14
East Christopherfort,2,422.6,211.3
New Joshuachester,1,162.1,162.1
Dorothyberg,1,205.15,205.15
Monicaview,3,725.63,241.876666666667
Heiditown,2,450.77,225.385
West Travis,4,740.75,185.1875
Hurstland,1,143.49,143.49
East Robertfurt,1,123.63,123.63
Alexanderburgh,8,1642.56,205.32
Port Andreatown,1,489.18,489.18
New Katherinebury,1,223.04,223.04
East Catherineville,1,416.6,416.6
Mariofurt,2,280.5,140.25
Lake Benjaminshire,1,48.05,48.05
South Martin,4,1220.9,305.225
East Jessicaland,1,57.95,57.95
Perezshire,2,573.75,286.875
Lake Deniseborough,1,331.9,331.9
Francobury,1,259.26,259.26
